date,id
2019-12-18 00:00:00+00:00,164
2019-12-19 00:00:00+00:00,203
2019-12-20 00:00:00+00:00,205
2019-12-21 00:00:00+00:00,0
2019-12-22 00:00:00+00:00,0
2019-12-23 00:00:00+00:00,0
2019-12-24 00:00:00+00:00,304
2019-12-25 00:00:00+00:00,89
2019-12-26 00:00:00+00:00,108
2019-12-27 00:00:00+00:00,86
2019-12-28 00:00:00+00:00,39
2019-12-29 00:00:00+00:00,54
2019-12-30 00:00:00+00:00,81
2019-12-31 00:00:00+00:00,122
2020-01-01 00:00:00+00:00,66
2020-01-02 00:00:00+00:00,53
2020-01-03 00:00:00+00:00,500
2020-01-04 00:00:00+00:00,175
2020-01-05 00:00:00+00:00,60
2020-01-06 00:00:00+00:00,52
2020-01-07 00:00:00+00:00,63
2020-01-08 00:00:00+00:00,47
2020-01-09 00:00:00+00:00,67
2020-01-10 00:00:00+00:00,303
2020-01-11 00:00:00+00:00,217
2020-01-12 00:00:00+00:00,21379
2020-01-13 00:00:00+00:00,20672
2020-01-14 00:00:00+00:00,4993
2020-01-15 00:00:00+00:00,1569
2020-01-16 00:00:00+00:00,1142
2020-01-17 00:00:00+00:00,524
2020-01-18 00:00:00+00:00,349
2020-01-19 00:00:00+00:00,302
2020-01-20 00:00:00+00:00,418
2020-01-21 00:00:00+00:00,299
2020-01-22 00:00:00+00:00,415
2020-01-23 00:00:00+00:00,443
2020-01-24 00:00:00+00:00,221
2020-01-25 00:00:00+00:00,275
2020-01-26 00:00:00+00:00,860
2020-01-27 00:00:00+00:00,3205
2020-01-28 00:00:00+00:00,363
2020-01-29 00:00:00+00:00,184
2020-01-30 00:00:00+00:00,413
2020-01-31 00:00:00+00:00,286
2020-02-01 00:00:00+00:00,79
2020-02-02 00:00:00+00:00,120
2020-02-03 00:00:00+00:00,74
2020-02-04 00:00:00+00:00,50
2020-02-05 00:00:00+00:00,154
2020-02-06 00:00:00+00:00,65
2020-02-07 00:00:00+00:00,151
2020-02-08 00:00:00+00:00,76
2020-02-09 00:00:00+00:00,45
2020-02-10 00:00:00+00:00,830
2020-02-11 00:00:00+00:00,246
2020-02-12 00:00:00+00:00,70
2020-02-13 00:00:00+00:00,125
2020-02-14 00:00:00+00:00,96
2020-02-15 00:00:00+00:00,47
2020-02-16 00:00:00+00:00,164
2020-02-17 00:00:00+00:00,54
2020-02-18 00:00:00+00:00,2436
2020-02-19 00:00:00+00:00,272
2020-02-20 00:00:00+00:00,92
2020-02-21 00:00:00+00:00,62
2020-02-22 00:00:00+00:00,76
2020-02-23 00:00:00+00:00,50
2020-02-24 00:00:00+00:00,72
2020-02-25 00:00:00+00:00,113
2020-02-26 00:00:00+00:00,94
2020-02-27 00:00:00+00:00,176
2020-02-28 00:00:00+00:00,182
2020-02-29 00:00:00+00:00,82
2020-03-01 00:00:00+00:00,164
2020-03-02 00:00:00+00:00,57
2020-03-03 00:00:00+00:00,102
2020-03-04 00:00:00+00:00,82
2020-03-05 00:00:00+00:00,109
2020-03-06 00:00:00+00:00,108
2020-03-07 00:00:00+00:00,1012
2020-03-08 00:00:00+00:00,1034
2020-03-09 00:00:00+00:00,151
2020-03-10 00:00:00+00:00,1047
2020-03-11 00:00:00+00:00,142
2020-03-12 00:00:00+00:00,119
2020-03-13 00:00:00+00:00,276
2020-03-14 00:00:00+00:00,174
2020-03-15 00:00:00+00:00,107
2020-03-16 00:00:00+00:00,78
2020-03-17 00:00:00+00:00,421
2020-03-18 00:00:00+00:00,161
2020-03-19 00:00:00+00:00,75
2020-03-20 00:00:00+00:00,80
2020-03-21 00:00:00+00:00,70
2020-03-22 00:00:00+00:00,64
2020-03-23 00:00:00+00:00,87
2020-03-24 00:00:00+00:00,109
2020-03-25 00:00:00+00:00,180
2020-03-26 00:00:00+00:00,84
2020-03-27 00:00:00+00:00,235
2020-03-28 00:00:00+00:00,194
2020-03-29 00:00:00+00:00,85
2020-03-30 00:00:00+00:00,440
2020-03-31 00:00:00+00:00,146
2020-04-01 00:00:00+00:00,228
2020-04-02 00:00:00+00:00,94
2020-04-03 00:00:00+00:00,59
2020-04-04 00:00:00+00:00,55
2020-04-05 00:00:00+00:00,50
2020-04-06 00:00:00+00:00,50
2020-04-07 00:00:00+00:00,105
2020-04-08 00:00:00+00:00,137
2020-04-09 00:00:00+00:00,51
2020-04-10 00:00:00+00:00,172
2020-04-11 00:00:00+00:00,922
2020-04-12 00:00:00+00:00,279
2020-04-13 00:00:00+00:00,103
2020-04-14 00:00:00+00:00,102
2020-04-15 00:00:00+00:00,50
2020-04-16 00:00:00+00:00,57
2020-04-17 00:00:00+00:00,47
2020-04-18 00:00:00+00:00,49
2020-04-19 00:00:00+00:00,50
2020-04-20 00:00:00+00:00,36
2020-04-21 00:00:00+00:00,417
2020-04-22 00:00:00+00:00,357
2020-04-23 00:00:00+00:00,206
2020-04-24 00:00:00+00:00,92
2020-04-25 00:00:00+00:00,57
2020-04-26 00:00:00+00:00,48
